name,description,module,path
"dex-init","DEX system initialization and maintenance workflow for agent manifest generation and system configuration","core",".dexCore/core/workflows/dex-init/workflow.yaml"
"brainstorming","Facilitate interactive brainstorming sessions using diverse creative techniques. This workflow facilitates interactive brainstorming sessions using diverse creative techniques. The session is highly interactive, with the AI acting as a facilitator to guide the user through various ideation methods to generate and refine creative solutions.","core",".dexCore/core/workflows/brainstorming/workflow.yaml"
"council-mode","Orchestrates group discussions between all installed DEX agents, enabling natural multi-agent conversations","core",".dexCore/core/workflows/council-mode/workflow.yaml"
"convert-legacy","Converts legacy DEX v4 or similar items (agents, workflows, modules) to Dex Core compliant format with proper structure and conventions","dxb",".dexCore/dxb/workflows/convert-legacy/workflow.yaml"
"create-agent","Interactive workflow to build DEX Core compliant agents (YAML source compiled to .md during install) with optional brainstorming, persona development, and command structure","dxb",".dexCore/dxb/workflows/create-agent/workflow.yaml"
"create-module","Interactive workflow to build complete DEX modules with agents, workflows, tasks, and installation infrastructure","dxb",".dexCore/dxb/workflows/create-module/workflow.yaml"
"create-workflow","Interactive workflow builder that guides creation of new DEX workflows with proper structure and validation for optimal human-AI collaboration. Includes optional brainstorming phase for workflow ideas and design.","dxb",".dexCore/dxb/workflows/create-workflow/workflow.yaml"
"edit-workflow","Edit existing DEX workflows while following all best practices and conventions","dxb",".dexCore/dxb/workflows/edit-workflow/workflow.yaml"
"module-brief","Create a comprehensive Module Brief that serves as the blueprint for building new DEX modules using strategic analysis and creative vision","dxb",".dexCore/dxb/workflows/module-brief/workflow.yaml"
"redoc","Autonomous documentation system that maintains module, workflow, and agent documentation using a reverse-tree approach (leaf folders first, then parents). Understands DEX conventions and produces technical writer quality output.","dxb",".dexCore/dxb/workflows/redoc/workflow.yaml"
"brainstorm-game","Facilitate game brainstorming sessions by orchestrating the DIS brainstorming workflow with game-specific context, guidance, and additional game design techniques.","dxm",".dexCore/dxm/workflows/1-analysis/brainstorm-game/workflow.yaml"
"brainstorm-project","Facilitate project brainstorming sessions by orchestrating the DIS brainstorming workflow with project-specific context and guidance.","dxm",".dexCore/dxm/workflows/1-analysis/brainstorm-project/workflow.yaml"
"game-brief","Interactive game brief creation workflow that guides users through defining their game vision with multiple input sources and conversational collaboration","dxm",".dexCore/dxm/workflows/1-analysis/game-brief/workflow.yaml"
"product-brief","Interactive product brief creation workflow that guides users through defining their product vision with multiple input sources and conversational collaboration","dxm",".dexCore/dxm/workflows/1-analysis/product-brief/workflow.yaml"
"research","Adaptive research workflow supporting multiple research types: market research, deep research prompt generation, technical/architecture evaluation, competitive intelligence, user research, and domain analysis","dxm",".dexCore/dxm/workflows/1-analysis/research/workflow.yaml"
